name,office,party,state,district
EVANS CHARLES RAY,H,UNKNOWN,FL,17
ROSSER JOHN PAUL,H,DEMOCRATIC PARTY,FL,18
ANSCHER BERNARD,H,INDEPENDENT,FL,22
DUNN MARVIN,H,DEMOCRATIC PARTY,FL,18
KENNEDY ROSARIO,H,DEMOCRATIC PARTY,FL,18
MASVIDAL RAUL P,H,DEMOCRATIC PARTY,FL,18
PEPPER JO ANN,H,DEMOCRATIC PARTY,FL,18
RICHMAN GERALD F,H,DEMOCRATIC PARTY,FL,18
WRIGHT SONNY,H,DEMOCRATIC PARTY,FL,18
PEREZ CARLOS,H,REPUBLICAN PARTY,FL,18
STEMBRIDGE JOHN MADISON,H,REPUBLICAN PARTY,FL,18
BANCIELLA ROLANDO A,H,DEMOCRATIC PARTY,FL,18
VESSIO NICHOLAS P,H,REPUBLICAN PARTY,FL,18
VAZQUEZ OSVALDO,H,DEMOCRATIC PARTY,FL,18
KEITH PAMELA M.,H,DEMOCRATIC PARTY,FL,18
ALLEN BOB,H,REPUBLICAN PARTY,FL,19
PRICE CURT,H,REPUBLICAN PARTY,FL,19
BUDD JOSEPH E,H,UNKNOWN,FL,19
DEUTCH THEODORE ELIOT,H,DEMOCRATIC PARTY,FL,22
MCCORMICK JIM,H,NO PARTY AFFILIATION,FL,19
BANYAI CINDY LYN,H,DEMOCRATIC PARTY,FL,19
FIGLESTHALER WILLIAM MATTHEW MD,H,REPUBLICAN PARTY,FL,19
SEVERSON DANIEL MARK,H,REPUBLICAN PARTY,FL,19
HOLDEN DAVID,H,DEMOCRATIC PARTY,FL,19
AQUINO DARREN DIONE MR.,H,REPUBLICAN PARTY,FL,25
O'CONNELL FORD,H,REPUBLICAN PARTY,FL,19
HENDERSON RANDY,H,REPUBLICAN PARTY,FL,19
FITZENHAGEN HEATHER,H,REPUBLICAN PARTY,FL,19
ASKAR CASEY,H,REPUBLICAN PARTY,FL,19
KOWAL DANIEL,H,REPUBLICAN PARTY,FL,19
GUNZBURGER SUZANNE N,H,DEMOCRATIC PARTY,FL,20
LOWRY ROBERT PAUL,H,REPUBLICAN PARTY,FL,20
HARRINGTON KAREN,H,REPUBLICAN PARTY,FL,23
KUNST ROBERT,H,NONE,FL,20
MILO DONNA E,H,REPUBLICAN PARTY,FL,20
BLUMENTHAL STANLEY,H,OTHER,FL,25
JONES LATERESA ANN,H,REPUBLICAN PARTY,FL,9
MUSSELWHITE GREGORY WAYNE SR.,H,REPUBLICAN PARTY,FL,20
MODY ROSHAN,H,DEMOCRATIC PARTY,FL,20
DEGRAMMONT VIC,H,REPUBLICAN PARTY,FL,20
SANCHEZ WILLAIM,H,DEMOCRATIC PARTY,FL,21
ACOSTA CHRISTIAN F.,H,REPUBLICAN PARTY,FL,21
BLUEMING JR MICHAEL JOESPH,H,REPUBLICAN PARTY,FL,21
DA ROSA VICTOR GARCIA,H,REPUBLICAN PARTY,FL,21
SCANLAN AARON,H,REPUBLICAN PARTY,FL,21
LOOMER LAURA,H,REPUBLICAN PARTY,FL,11
VILARDI MICHAEL,H,REPUBLICAN PARTY,FL,21
FELTON ELIZABETH,H,REPUBLICAN PARTY,FL,21
SHERRILL REBA,H,REPUBLICAN PARTY,FL,21
BLUEMLING MICHAEL JOSEPH JR,H,REPUBLICAN PARTY,FL,21
WEISS GUIDO,H,DEMOCRATIC PARTY,FL,21
MALKEMUS CHARLESTON,H,NO PARTY AFFILIATION,FL,21
RAYSON JOHN C,H,DEMOCRATIC PARTY,FL,22
BLOOM ELAINE,H,DEMOCRATIC PARTY,FL,22
REYES OMAR,H,INDEPENDENT,FL,22
MELTON JESSICA MS.,H,REPUBLICAN PARTY,FL,22
SWAFFAR DARLENE,H,REPUBLICAN PARTY,FL,22
PRUDEN JAMES L.,H,REPUBLICAN PARTY,FL,23
SCOTT CHRISTINE,H,NO PARTY AFFILIATION,FL,23
FLYNN FRAN,H,REPUBLICAN PARTY,FL,22
LAURIE CHARLES LOUIS III,H,REPUBLICAN PARTY,FL,23
