candidate_id,committee_id,transaction_date,transaction_amount
H0TX24209,C70000716,2/15/2022 0:00,18.09
H2TX31044,C70000716,2/15/2022 0:00,20.17
H8TX02166,C70000716,2/15/2022 0:00,16.44
H0TX35015,C70002563,2/16/2022 0:00,1800
H0TX35015,C70002563,2/16/2022 0:00,9425
H2TX35144,C70000112,2/22/2022 0:00,5848.75
H0TX28077,C70000112,2/22/2022 0:00,1132.76
H2TX23082,C70000112,2/22/2022 0:00,3398.27
H2TX03126,C70002563,2/22/2022 0:00,2400.14
H8TX02166,C70002563,2/22/2022 0:00,600
H2TX03126,C70002563,2/22/2022 0:00,600
H6TX15162,C70002563,2/22/2022 0:00,3565.08
H0TX24209,C70002563,2/22/2022 0:00,600
H0TX24209,C70002563,2/22/2022 0:00,4131.37
H6TX15162,C70002563,2/22/2022 0:00,600
H8TX02166,C70002563,2/22/2022 0:00,3262.26
H2TX03126,C70006432,2/27/2022 0:00,7.65
H0TX04219,C70006432,2/27/2022 0:00,4.38
H8TX05144,C70006432,2/27/2022 0:00,4.98
H8TX27049,C70006432,2/27/2022 0:00,9.15
H6TX02079,C70006432,2/27/2022 0:00,2.59
H0TX13228,C70006432,2/27/2022 0:00,8.48
H2TX14149,C70006432,2/27/2022 0:00,4.27
H6TX19099,C70006432,2/27/2022 0:00,9.89
H2TX31044,C70006432,2/27/2022 0:00,7.01
H8TX06266,C70006432,2/27/2022 0:00,4.26
H0TX22302,C70006432,2/27/2022 0:00,2.47
H0TX24209,C70006432,2/27/2022 0:00,1.08
H8TX02166,C70006432,2/27/2022 0:00,1.89
H0TX35015,C70006432,2/27/2022 0:00,3.04
H2TX33040,C70006432,2/27/2022 0:00,4.38
H4TX10093,C70006432,2/27/2022 0:00,5.38
H0TX11230,C70006432,2/27/2022 0:00,8.52
H6TX12060,C70006432,2/27/2022 0:00,2.18
H8TX21307,C70006432,2/27/2022 0:00,6.54
H8TX03123,C70006432,2/27/2022 0:00,2.13
H2TX26093,C70006432,2/27/2022 0:00,2.58
H0TX28077,C70005988,3/3/2022 0:00,462.11
H2TX35144,C70005988,3/3/2022 0:00,462.11
H8NJ02166,C70005988,3/10/2022 0:00,1.55
H8NJ02166,C70005988,3/10/2022 0:00,1.55
H2TX23082,C70005988,3/21/2022 0:00,26.92
H2TX35144,C70005988,3/21/2022 0:00,26.92
